department,process_volume_monthly,manual_hours_monthly,data_quality_score,implementation_months,technical_complexity,employee_impact_score,budget_required_k,estimated_roi_percent,ai_project_success
HR,15401,1899,67,4,7,10,1604,104.7,0
HR,38713,1938,92,13,8,6,1320,117.2,1
Customer Service,34648,1419,81,12,7,9,290,77.5,1
HR,43133,1514,46,7,9,2,1057,58.7,1
Finance,23418,809,41,12,5,6,317,81.7,0
Risk,47194,1685,81,4,10,2,1023,120.6,1
HR,20040,50,63,2,3,4,1507,38.6,0
Operations,12080,1418,43,2,6,8,1570,44.2,0
Customer Service,38902,30,83,5,5,7,253,49.9,1
Operations,39078,1345,58,10,4,9,594,130.7,1
Sales,25417,115,65,10,2,7,1751,13.9,1
Risk,22818,1233,50,9,7,1,46,87.3,0
HR,10679,472,79,13,5,2,1514,21.9,0
Operations,12751,211,89,7,4,6,112,50.9,0
Risk,46399,505,82,5,8,7,636,46.9,1
Sales,19993,1309,50,10,9,3,328,52.8,0
Finance,20966,1467,84,10,9,9,71,119.2,0
Customer Service,30706,1171,42,6,3,7,338,64.1,1
Risk,45975,257,51,8,3,6,200,13.3,1
Risk,20124,1963,42,1,5,6,1612,78.6,0
Finance,27064,1398,81,17,5,1,1163,93,1
Risk,22912,1983,66,7,10,5,1863,83.8,0
Sales,28490,1155,88,14,2,10,894,86.7,1
Sales,36017,1871,93,17,1,3,1086,140.4,1
Finance,13656,1489,41,9,8,7,666,114.6,0
Customer Service,23564,1386,88,17,3,10,1928,84.8,0
HR,26211,1188,55,5,1,3,1981,81,1
Operations,30606,1108,41,8,1,5,1303,77.1,1
HR,17089,1290,99,6,2,7,216,85.1,0
Risk,24236,754,93,11,6,3,664,36,0
Operations,21475,1010,69,4,6,10,990,25.6,0
Finance,36718,1533,59,18,3,2,274,112.6,1
Finance,7714,844,77,1,4,6,751,72.5,0
Customer Service,31081,1482,67,13,2,8,355,118.5,1
Operations,20695,125,64,14,2,4,1596,15.9,0
Sales,45082,200,71,1,7,9,1545,10.6,1
Operations,27627,203,100,11,1,8,1009,51.1,1
Risk,5641,245,49,17,7,7,919,-9.6,0
Sales,29384,796,99,4,1,7,1298,71.9,1
Finance,25385,809,81,12,6,3,533,54.9,1
Operations,3208,1952,79,10,3,6,1750,89.1,0
HR,18875,1132,72,6,8,5,261,91.3,0
Customer Service,15588,707,52,1,6,1,168,49.2,0
HR,45102,549,95,7,2,3,1753,38.8,1
Customer Service,45546,1414,80,16,8,1,1342,81.3,1
Risk,10514,991,93,14,5,4,776,66.6,0
HR,3773,955,81,6,8,10,1893,17,0
Operations,47635,1956,86,5,8,3,639,131.8,1
Operations,37806,1442,76,18,6,4,472,92.3,1
HR,31381,125,93,15,2,9,1436,54.3,1
Operations,31986,1314,55,6,8,3,231,88.9,1
Risk,13041,850,84,1,6,6,687,48.6,0
Sales,9212,1546,61,1,6,6,1581,71,0
Risk,9668,698,96,13,8,7,613,52.6,0
Customer Service,4051,1568,59,3,1,9,1638,89.1,0
Risk,12797,868,89,10,2,7,150,47.8,0
Customer Service,44233,1075,82,3,9,1,1372,86.3,1
Operations,27628,412,66,9,8,8,631,46.5,1
Sales,3332,59,80,8,7,5,275,20,0
Operations,28983,679,55,3,7,9,1522,63.3,1
Finance,22563,1261,73,13,5,10,580,68.7,0
Operations,23463,1774,71,6,2,5,1956,115.9,0
Customer Service,13922,1000,65,13,6,5,82,73.6,0
Operations,33420,1125,64,12,10,2,1354,59.4,1
Operations,11656,864,41,13,3,3,426,51.1,0
Sales,11608,1763,51,2,4,10,821,87.7,0
Operations,32345,220,79,16,10,9,1148,44.9,1
Sales,3300,466,48,6,2,7,1660,37.6,0
HR,38578,1887,51,13,2,1,1880,106.4,1
Finance,43212,1471,65,17,8,3,34,84.9,1
Sales,3110,1081,48,9,8,2,1730,33.6,0
Customer Service,12567,1254,49,17,10,1,278,55.2,0
HR,34372,463,71,2,6,9,742,20.3,1
Sales,11228,1370,96,7,5,8,1455,72.2,0
Sales,30066,780,73,10,8,5,1302,28.1,1
Finance,30283,246,87,10,4,2,633,42.6,1
Customer Service,21083,67,59,9,4,1,1303,18.5,0
Risk,20738,1061,78,17,5,7,1899,76.4,0
Risk,7763,931,99,15,1,2,1714,71.1,0
Sales,2414,1482,41,2,1,1,1088,89.7,0
Operations,24249,1850,40,4,2,2,1998,82.8,0
Customer Service,19956,1751,90,17,8,7,832,99.5,0
HR,26082,206,99,5,7,7,1806,11.9,1
Operations,906,364,75,7,10,10,350,40.4,0
Operations,14189,243,63,18,9,6,184,17.5,0
Customer Service,33434,849,93,7,5,5,1236,70.8,1
Sales,33776,507,66,17,2,3,1564,10.7,1
Sales,36932,1952,41,7,7,3,1444,90,1
Sales,20373,896,70,4,8,9,1417,46,0
Sales,13550,868,96,8,7,4,1108,62.6,0
Risk,1180,1272,53,13,7,9,406,81.7,0
Sales,19408,1433,41,4,5,4,1538,69.7,0
Risk,19004,998,68,6,2,2,1837,68.8,0
Risk,22144,1632,54,5,6,4,1736,62.1,0
Sales,37625,1036,51,12,4,6,1458,45.9,1
Finance,1863,207,76,4,10,6,1837,-10.5,0
HR,42791,1901,67,9,2,5,1834,121.5,1
Operations,35560,289,59,4,9,1,1073,36.3,1
Risk,2038,1650,100,14,7,3,1309,75.3,0
Customer Service,36676,329,78,5,6,5,347,72.4,1
Customer Service,42020,1175,63,18,5,6,1535,59.9,1
HR,26175,1594,60,10,3,1,1260,108.8,1
Customer Service,18787,1115,49,12,10,9,339,73.6,0
Finance,674,1836,85,18,10,3,1961,59.9,0
Customer Service,27232,864,53,17,4,10,418,60.3,1
Operations,35498,1715,76,11,3,3,1934,90.3,1
Operations,37555,1230,57,3,8,2,124,79.3,1
Risk,12612,505,63,17,3,8,715,37.5,0
Sales,40374,1234,53,1,7,3,1036,76,1
Finance,10189,1465,73,15,7,6,349,96.7,0
Risk,45314,139,97,9,7,2,679,53.4,1
Finance,20055,239,51,15,7,7,1660,-8,0
Sales,34419,72,61,3,2,4,1090,53.4,1
Customer Service,8119,1777,95,13,10,9,618,91.7,0
Customer Service,6533,1494,45,12,3,10,840,72.2,0
Sales,41828,1455,75,1,10,9,1992,74.7,1
Risk,5446,1686,84,17,9,7,660,78.9,0
Sales,25118,1280,75,13,3,8,1813,95,1
HR,35175,777,61,1,2,3,333,87.6,1
Operations,36758,757,53,10,9,5,1190,8.3,1
Risk,19419,739,55,15,10,2,481,43.2,0
Finance,4673,425,100,7,9,10,1627,9.9,0
HR,44333,627,75,18,4,7,505,91.9,1
Risk,26900,1040,95,16,9,8,1695,66.4,1
Sales,5269,441,64,14,3,9,429,40.6,0
Sales,38064,731,71,18,7,7,46,67.4,1
Sales,46314,266,72,7,7,10,1072,50.8,1
Sales,14711,91,84,17,8,10,290,23.8,0
Finance,23755,1873,75,18,10,8,705,109.2,0
HR,28462,204,59,12,4,9,520,15.8,1
Customer Service,19856,25,57,8,3,6,1296,13.2,0
Operations,20806,1249,77,2,3,10,404,83,0
Finance,5497,1587,42,7,5,2,79,124.4,0
Finance,17876,1654,62,4,1,2,1150,92.5,0
Customer Service,41380,925,71,18,10,4,239,67.4,1
Customer Service,38555,406,84,6,3,9,1484,37.5,1
Operations,11078,1811,98,9,6,7,790,108,0
Operations,19124,718,55,9,3,2,1926,13.5,0
Customer Service,39694,1119,98,14,5,8,1701,112.3,1
Sales,44867,1220,44,8,9,7,583,57.1,1
Finance,889,846,43,3,2,9,1615,62.5,0
Risk,34267,1842,60,18,2,8,565,138.8,1
Operations,46080,368,79,5,6,3,115,71.4,1
Operations,48867,1298,90,14,6,1,1008,93,1
Customer Service,2355,1880,53,4,8,2,1132,59.6,0
HR,41393,1745,78,7,2,2,847,124.8,1
Risk,14294,327,70,12,9,4,1965,24.5,0
Risk,36031,1388,53,2,2,6,250,105.9,1
Operations,5486,1170,45,11,1,4,987,92.1,0
Sales,32798,1980,51,14,10,9,294,131.5,1
HR,1981,306,55,16,2,4,265,26.6,0
Risk,4231,785,56,6,7,6,130,61.1,0
Operations,17335,744,84,4,8,6,253,19.1,0
Risk,28298,781,62,15,5,10,1321,29,1
HR,26613,1639,53,1,6,10,1520,81.3,1
HR,19977,1530,100,7,1,1,436,93.8,0
Finance,17766,402,46,12,6,8,697,9.7,0
Customer Service,21292,1449,85,10,8,3,1171,74.1,0
Customer Service,20952,407,71,5,3,6,1280,30.3,0
Operations,44026,544,54,12,1,3,822,79,1
HR,49579,1600,83,18,4,2,638,116.7,1
Finance,41834,658,56,10,1,5,1171,46.9,1
Finance,12389,957,80,6,8,1,726,39.1,0
Risk,24835,1669,93,12,5,9,870,108,0
Risk,11754,1988,86,7,1,7,1437,139.4,0
Finance,21574,295,83,18,8,3,494,71.1,0
Risk,11942,519,73,2,9,4,674,8.9,0
HR,46789,736,44,10,10,6,414,44.4,1
Sales,37827,356,84,15,2,3,130,88.4,1
HR,16699,1993,66,12,9,7,109,97.2,0
Finance,7791,951,91,17,8,6,782,87.8,0
Finance,41428,500,62,4,7,9,1323,73.1,1
HR,612,1940,79,7,3,5,1376,75.1,0
Risk,22015,930,98,9,2,4,1267,74.2,0
Risk,20081,1316,53,7,7,3,1144,48.3,0
Customer Service,49192,1963,54,2,5,10,151,129.5,1
Finance,27000,1101,82,6,6,1,1056,66,1
Operations,32526,1371,72,18,4,3,476,116.4,1
Customer Service,17023,1774,92,6,2,3,1484,102,0
Risk,1924,128,70,13,9,7,117,7.1,0
HR,20052,1322,74,2,3,7,1163,91.7,0
Risk,11308,1729,56,12,7,1,312,108,0
HR,39311,347,67,15,8,3,1859,4.5,1
Customer Service,7489,1819,58,14,2,8,1754,105.3,0
Finance,24120,334,85,6,6,9,1044,16.3,0
Risk,39529,1517,93,18,8,7,591,115.8,1
HR,1387,1154,62,5,7,7,269,75.2,0
Finance,32302,718,71,18,3,8,671,75.2,1
Operations,19988,800,79,3,1,6,168,91.8,0
HR,30513,1978,52,3,6,3,1438,83.9,1
Customer Service,49701,1272,98,10,8,1,63,114.5,1
Operations,16902,1540,59,3,6,7,1926,72.3,0
Operations,21705,175,74,12,5,1,1741,-8.2,0
Sales,26549,1516,44,16,8,1,1663,81.1,1
Risk,12753,1744,48,17,2,9,1087,83,0
HR,19490,1315,68,7,1,10,1121,76.4,0
Operations,8346,906,45,13,1,7,1269,48.6,0
Sales,25527,1045,64,2,4,4,181,90.3,0
Customer Service,39700,777,70,4,6,6,1836,29.4,1
Finance,46720,741,61,10,9,1,272,67.5,1
HR,46663,1554,41,7,1,7,151,145.6,1
Operations,4265,932,84,17,1,6,1491,52.5,0
Risk,16450,1329,44,6,5,4,1927,54.3,0
Sales,45770,890,99,5,10,7,1930,53.6,1
Operations,10241,32,66,10,5,3,493,66.1,0
Risk,23242,627,64,9,5,1,1699,17.1,0
Operations,25203,517,47,13,10,4,1821,14,0
HR,39209,1776,94,6,6,3,1152,89.9,1
HR,38123,257,40,4,8,1,725,46.5,1
HR,23431,1137,59,3,3,2,1078,64.6,0
Customer Service,24080,1381,83,3,9,5,1510,63.8,0
Customer Service,15666,800,62,4,1,8,1945,65.3,0
Sales,29740,1214,71,5,4,1,294,90.7,1
HR,26491,625,50,8,9,4,206,49.3,1
Risk,39056,680,78,16,8,4,968,55.3,1
Operations,33469,1667,86,3,10,5,262,100.1,1
Finance,11061,1610,93,12,9,7,283,105.7,0
Risk,17401,868,63,8,1,8,541,59.7,0
Customer Service,41005,955,50,13,9,6,982,29.4,1
Customer Service,30520,1510,68,4,3,1,1721,77.1,1
Risk,26417,647,93,14,10,7,1584,19.5,0
Customer Service,2488,162,65,14,9,3,802,-20,0
HR,48709,1244,55,13,1,6,1130,81,1
Sales,45005,1223,74,6,1,8,554,88.2,1
Operations,14756,733,59,17,9,7,229,75.8,0
Sales,22692,1407,85,4,6,10,65,139.4,0
Operations,28730,498,42,8,4,6,1510,34.2,1
Operations,40430,584,40,17,7,9,1583,21.4,1
Sales,46333,490,97,3,5,9,45,75.2,1
Risk,23125,403,92,17,10,1,1309,14.8,0
Operations,32588,1735,86,9,7,1,194,129.8,1
Sales,14614,945,40,2,8,1,1559,78.3,0
Operations,41667,436,56,13,8,8,1354,7.4,1
Finance,38901,1868,41,2,1,10,341,105.3,1
Risk,6255,327,68,11,8,7,1622,29.4,0
HR,11325,668,59,15,6,3,1178,38.2,0
Operations,23193,1737,45,11,4,2,74,115.8,0
Finance,4617,1410,47,3,8,4,1586,83.8,0
HR,25229,1044,68,3,3,3,1629,50.2,1
HR,32682,1087,87,12,4,7,1574,56.3,1
Operations,29390,758,90,5,6,10,1199,53.2,1
Sales,29840,1886,72,7,7,8,1892,111.5,1
Operations,2018,1141,42,7,4,6,687,73.9,0
Finance,31449,1763,99,13,4,3,166,178.3,1
HR,23047,1308,74,9,7,6,1528,63.9,0
Operations,16846,1843,44,13,6,2,618,80.8,0
Sales,3100,1826,66,12,8,7,39,112.9,0
Operations,46505,159,83,13,1,10,1312,74.5,1
Risk,29767,1524,51,10,10,7,352,75.8,1
Sales,36822,1280,59,1,7,4,1598,55.2,1
Finance,27490,993,84,8,7,8,926,65.1,1
HR,16693,1036,59,16,7,4,963,68,0
Operations,30609,972,48,13,7,7,930,54.5,1
Sales,19733,923,78,3,10,4,420,100.3,0
Risk,48521,91,43,3,10,5,969,38.7,1
Sales,16694,1710,90,5,8,7,1349,70.9,0
Customer Service,35010,1233,93,11,9,10,47,64.1,1
Risk,1806,1311,58,7,9,3,486,77.2,0
Finance,4349,1364,77,10,2,10,1303,89.3,0
HR,12860,126,66,10,7,5,1577,-9.5,0
Finance,46036,1275,84,2,7,3,1001,74.5,1
Operations,29731,1085,82,3,4,5,1930,55.6,1
Sales,46300,1745,52,8,9,3,120,80.1,1
Customer Service,37463,902,52,11,8,10,570,65.3,1
Risk,19189,158,99,13,1,7,821,53.2,0
Risk,29584,634,96,7,2,1,372,84.1,1
Sales,40887,1726,61,13,2,9,1343,73,1
Customer Service,9780,882,67,2,8,9,1725,55.6,0
Sales,3142,292,91,6,1,5,315,59.8,0
Operations,42637,1524,86,9,4,9,372,102.6,1
Finance,14796,435,92,2,10,10,927,12.3,0
Risk,15938,525,84,18,5,6,1173,55,0
Operations,48942,752,61,16,9,5,1038,41.2,1
Finance,38025,1768,82,12,7,3,1199,64.3,1
Operations,3494,1896,58,7,8,8,1117,70.8,0
Customer Service,48494,443,47,7,9,4,1385,9.3,1
Risk,34539,1450,91,17,7,10,1508,92.8,1
Sales,2313,1611,47,13,5,3,1133,93.6,0
Sales,27991,409,81,11,5,6,1622,45.1,1
Finance,19345,361,65,6,10,8,474,22.3,0
HR,41743,965,87,14,6,9,1791,39.6,1
Customer Service,37664,633,90,6,5,6,731,67.5,1
Finance,42551,1976,65,6,9,5,999,90.6,1
HR,13818,512,62,2,3,2,1375,24.8,0
Operations,17700,211,82,15,3,2,758,51,0
Customer Service,582,518,52,17,7,9,996,-16.5,0
Operations,2420,841,67,8,7,2,1391,43.5,0
Risk,41085,1755,48,5,6,2,252,80.1,1
Customer Service,12183,1276,59,17,3,3,1821,69.1,0
HR,11836,1988,95,1,7,3,1641,103.4,0
Risk,16096,246,58,18,5,4,1043,17.5,0
Sales,2593,1414,87,15,7,7,121,87.1,0
HR,13405,158,78,5,2,9,972,24.9,0
Finance,24851,875,90,7,6,2,500,67.9,0
Sales,31481,836,51,18,8,4,1257,47.3,1
Sales,8867,1192,54,6,1,9,127,109.1,0
Finance,5785,1158,70,5,4,2,1208,74.9,0
Customer Service,44164,1493,94,10,1,10,992,122.8,1
Sales,38205,1106,53,15,1,1,1646,62.5,1
HR,17253,123,50,10,10,10,723,9.1,0
Risk,18985,1894,65,16,8,8,354,132.5,0
Sales,13477,890,81,12,7,9,105,95.1,0
HR,20374,687,66,18,10,7,753,54.6,0
Operations,8174,292,50,1,1,8,894,14.1,0
HR,29538,1049,77,16,2,4,1467,79,1
Risk,29815,1190,73,6,4,4,1656,69.1,1
HR,4176,203,82,3,1,2,1781,11.7,0
Finance,2926,1071,58,2,3,8,383,72.6,0
Risk,24973,1593,45,2,8,2,79,119.5,1
Customer Service,3462,1162,85,13,8,9,1525,37,0
Operations,30443,312,91,9,8,4,1293,19.7,1
Finance,1359,1414,77,16,6,1,579,113.8,0
Customer Service,45316,1287,88,5,6,4,136,124.5,1
HR,4638,1623,81,7,5,3,1782,74.7,0
Risk,35692,1769,67,13,9,6,893,116.5,1
Operations,26140,1261,40,13,4,7,934,72.6,0
Finance,10909,196,74,7,10,8,987,19.7,0
Customer Service,4517,1342,79,10,7,2,1018,28.3,0
Customer Service,10951,1719,47,15,1,6,1588,65.9,0
Operations,28827,77,98,6,9,6,63,13.4,1
HR,10778,1312,91,5,7,10,528,107.2,0
Operations,25444,327,93,2,10,5,1208,40.4,1
Customer Service,44264,1613,86,15,9,10,1411,82.8,1
Sales,1634,1331,95,16,7,10,1900,52,0
Finance,30631,996,46,9,2,7,1335,76.6,1
Operations,38387,1148,50,7,6,3,868,60.5,1
Customer Service,38962,1271,78,4,10,4,1899,83.4,1
HR,23020,1290,100,3,4,10,936,106.7,0
Customer Service,22369,719,43,11,3,9,917,23.1,0
HR,37432,1537,64,1,2,4,818,104.8,1
Operations,5539,102,51,6,6,3,895,8.4,0
HR,21781,1229,65,11,8,2,1780,57.6,0
Risk,47899,271,77,1,6,5,305,43.6,1
Risk,10942,1398,85,7,9,4,1247,70.9,0
Risk,8752,1793,51,6,5,8,703,91.4,0
Sales,28086,1915,82,14,2,7,1567,128.5,1
Operations,18068,1739,90,2,8,6,838,85.8,0
Customer Service,21310,815,92,4,9,2,140,74,0
Customer Service,2051,916,76,11,10,3,964,66,0
Sales,13125,1981,85,15,4,10,1799,126.5,0
HR,34897,229,92,18,6,9,1707,18.1,1
Sales,26749,835,63,1,10,9,1707,-12.8,1
HR,1861,1851,55,3,8,5,1037,81.6,0
HR,26649,628,96,3,9,3,1231,57,1
Finance,4870,466,52,7,5,2,926,26.9,0
Customer Service,5783,479,64,1,6,8,32,65.9,0
Risk,8110,987,100,11,4,6,622,99.2,0
HR,43826,491,93,6,5,10,219,54.2,1
Finance,15424,1763,93,3,7,7,605,102.9,0
Customer Service,48107,389,96,2,9,1,1811,23.2,1
Risk,45217,919,91,18,10,1,1499,61.4,1
HR,11126,1977,93,12,6,10,467,121.1,0
HR,35261,1535,43,10,6,2,1831,47.6,1
Sales,1369,942,50,5,8,10,1883,34.7,0
Sales,32052,156,71,9,4,3,860,26.7,1
Customer Service,1514,386,88,2,3,1,1114,42.3,0
Risk,10603,931,46,2,7,5,609,64.1,0
HR,17486,203,85,6,5,3,1839,-0.6,0
Customer Service,45281,1631,97,10,2,1,1173,115.7,1
Customer Service,30971,1330,50,18,2,8,908,92.6,1
Operations,33958,491,67,12,6,6,62,76.1,1
Sales,25569,1418,93,4,8,9,539,108.6,0
Risk,17373,673,80,17,1,3,1056,65.6,0
HR,23748,768,62,15,6,9,744,44.5,0
Customer Service,24124,556,84,6,2,9,642,57.4,0
HR,44016,1554,62,16,2,1,1007,94.7,1
Operations,29561,821,89,17,7,3,822,41.9,1
Risk,24670,1622,67,3,10,6,554,140,0
Customer Service,8524,1293,82,10,1,8,321,89.9,0
HR,17178,939,86,5,6,4,1809,55.8,0
Sales,38756,529,96,14,7,5,546,57.2,1
Operations,20911,649,65,13,8,9,1685,10.4,0
Risk,44303,1021,64,6,7,6,1616,43.9,1
Operations,19796,1116,93,12,6,7,1158,85.8,0
Sales,26793,1325,68,8,9,7,479,103.5,1
Risk,27672,935,58,5,3,4,851,44.4,1
Operations,21628,1403,72,15,6,4,524,100.1,0
Finance,18757,1053,75,16,4,4,1351,61.4,0
Sales,13355,1254,53,1,2,5,951,75,0
Sales,20142,1878,53,16,1,5,344,131.4,0
Sales,36085,171,74,5,1,8,598,62.3,1
Finance,20525,1048,69,3,10,9,780,56.1,0
Finance,4958,1238,67,15,3,2,1218,99.7,0
HR,5807,1997,56,13,4,7,870,82.6,0
Customer Service,42201,1326,42,16,2,1,1557,78,1
Operations,18925,483,55,11,1,1,1215,36.6,0
HR,43927,1156,85,2,4,4,979,92.2,1
Operations,28773,290,69,6,7,10,521,30.4,1
Customer Service,39006,1206,91,6,10,7,353,50.8,1
Finance,6168,479,68,14,6,2,303,29.4,0
Customer Service,26434,124,84,11,6,2,494,-11.4,1
Finance,47695,1736,54,8,9,1,1097,82.7,1
Customer Service,8197,1599,85,8,2,10,1501,102.2,0
HR,24917,1325,95,1,4,2,1622,81.9,1
Risk,16946,1730,64,7,5,7,1463,100.2,0
HR,41097,181,90,6,1,9,1657,76.9,1
Operations,11251,370,77,8,8,6,651,37.2,0
HR,46718,453,81,8,8,10,722,57.4,1
Sales,7852,871,98,14,6,2,428,71.5,0
Operations,14016,159,86,18,5,10,1001,60.1,0
Customer Service,23799,1514,92,16,8,10,1347,58.4,0
Operations,32457,1175,93,9,3,9,1978,64.8,1
Risk,29427,106,91,15,3,7,578,35.6,1
Finance,41594,1731,97,10,2,1,241,110.7,1
Customer Service,36912,202,77,16,5,9,1576,54.7,1
Operations,29993,387,62,4,3,2,177,52,1
Customer Service,27211,148,64,13,3,4,367,54.7,1
Customer Service,8503,1289,81,5,6,9,1202,42.2,0
Customer Service,32207,1644,46,7,8,4,908,99.2,1
Finance,3778,1621,61,9,2,3,1927,91,0
HR,7796,689,56,8,4,1,941,44.5,0
Customer Service,25898,1942,57,16,7,7,1278,100,1
Sales,36342,1421,88,6,1,6,681,133.2,1
Risk,13761,168,80,16,1,10,424,32.8,0
Finance,11673,1004,49,6,10,4,1300,21.4,0
Operations,30949,871,49,14,7,6,696,34,1
Finance,41580,1476,96,1,7,6,608,117.8,1
Operations,2137,647,46,9,1,4,1640,11.6,0
Finance,32281,1769,87,13,1,6,577,99.6,1
Operations,14152,1512,100,17,4,10,924,135.1,0
Customer Service,5603,465,89,11,5,8,1956,22.3,0
HR,26000,1524,77,8,5,3,1090,98.5,1
Operations,35300,903,66,5,4,4,1256,91.4,1
Operations,36029,313,91,10,8,10,498,33,1
Sales,48463,1808,72,7,7,1,506,120.4,1
Operations,18952,1186,40,10,9,4,1614,59.5,0
Sales,49893,269,83,4,7,10,585,40,1
Risk,31674,897,92,9,10,10,1385,58.7,1
Customer Service,35936,967,99,14,1,9,543,126.3,1
Sales,47906,994,73,2,7,8,723,73.9,1
HR,16454,1345,43,9,1,4,1546,78.9,0
Customer Service,17686,1068,56,1,7,7,1049,76.2,0
Sales,12856,808,43,10,10,10,840,1.9,0
Customer Service,33463,1003,82,10,8,3,1187,80.7,1
Customer Service,2687,908,93,3,9,9,877,32,0
Customer Service,12207,909,65,6,3,10,1304,63.5,0
Risk,35598,1944,43,6,4,4,604,128.6,1
HR,27435,89,40,2,4,2,705,26,1
Finance,21725,644,46,18,9,10,251,23.5,0
Finance,4106,894,69,2,7,5,289,70.1,0
Sales,33328,1155,89,12,3,2,959,89.8,1
Customer Service,26989,1407,48,5,10,10,1490,52.4,1
Sales,14887,1346,100,7,5,6,893,99.2,0
Risk,4427,490,74,16,7,10,1265,31.8,0
Risk,6796,110,47,1,8,1,71,0.9,0
Operations,30944,549,100,1,1,6,135,91.1,1
Risk,46890,680,63,17,2,4,557,88.5,1
Operations,47393,758,58,1,7,3,1608,37.7,1
HR,3091,745,75,13,2,2,1920,49.9,0
Sales,45395,891,89,9,7,7,560,70.9,1
HR,49016,1706,91,15,9,9,1062,108.2,1
Risk,26647,211,98,3,2,3,834,81.2,1
HR,39389,1595,82,14,7,6,1435,79.8,1
HR,1700,1285,66,11,4,9,810,62.3,0
HR,16221,157,71,12,2,2,1672,-20,0
Risk,19738,364,53,13,7,7,637,-6.5,0
Customer Service,11587,1223,96,13,5,5,438,80.2,0
HR,31316,1028,57,1,1,5,328,84.9,1
Operations,23908,1755,67,10,5,7,1782,84.7,0
Risk,40240,522,99,3,3,9,883,79.3,1
HR,636,222,68,4,7,4,205,2,0
Customer Service,17913,592,55,16,6,9,280,23.3,0
Risk,48614,211,74,8,8,10,1571,16.7,1
Finance,19478,24,86,16,5,9,1316,14.8,0
Customer Service,1161,1933,98,17,2,4,179,158.2,0
Operations,35740,1280,98,15,9,3,889,82.8,1
HR,27753,1736,70,16,8,2,781,83.7,1
Finance,27384,330,43,15,6,9,243,45.6,1
Finance,33354,568,76,2,10,2,1299,49.2,1
